Date 	Open 	High 	Low 	Close 	Adj Close 	Volume
Apr 8, 2022 	48.2000 	50.2000 	48.0000 	48.9000 	48.9000 	770
Apr 7, 2022 	49.5000 	49.5000 	48.0000 	48.2000 	48.2000 	690
Apr 6, 2022 	50.1000 	50.7300 	47.3000 	49.7000 	49.7000 	3,190
Apr 5, 2022 	50.0000 	51.0000 	47.8000 	50.4000 	50.4000 	3,330
Apr 4, 2022 	48.9000 	50.5900 	48.1000 	48.6000 	48.6000 	10,390
Apr 1, 2022 	47.8000 	51.0000 	46.8000 	49.5000 	49.5000 	9,910
Mar 31, 2022 	49.0000 	49.5000 	46.8100 	47.2000 	47.2000 	9,890
Mar 30, 2022 	50.0000 	52.0000 	47.5000 	48.6000 	48.6000 	18,420
Mar 29, 2022 	43.5500 	50.3000 	42.1000 	48.5000 	48.5000 	31,230
Mar 28, 2022 	42.0000 	42.8000 	41.0000 	42.0000 	42.0000 	3,450
Mar 25, 2022 	42.0000 	42.0000 	38.2000 	40.6000 	40.6000 	1,420
Mar 24, 2022 	38.7600 	40.5000 	36.8700 	39.5000 	39.5000 	3,620
Mar 23, 2022 	40.3000 	40.3000 	36.1000 	38.6500 	38.6500 	2,020
Mar 22, 2022 	41.0000 	41.1100 	39.1000 	40.5000 	40.5000 	1,900
Mar 21, 2022 	40.0000 	41.6000 	38.9000 	40.2000 	40.2000 	2,380
Mar 18, 2022 	34.5000 	39.9000 	34.2000 	39.9000 	39.9000 	10,140
Mar 17, 2022 	32.8000 	34.2000 	32.3600 	33.2000 	33.2000 	3,280
Mar 16, 2022 	28.7000 	32.0800 	28.5000 	30.3000 	30.3000 	1,830
Mar 15, 2022 	30.0000 	30.6300 	28.1000 	28.1000 	28.1000 	2,000
Mar 14, 2022 	32.9000 	32.9000 	26.9000 	27.7000 	27.7000 	5,610
Mar 11, 2022 	32.6500 	33.8000 	30.5000 	32.2000 	32.2000 	16,860
Mar 10, 2022 	30.4000 	31.8000 	29.8000 	31.2000 	31.2000 	340
Mar 9, 2022 	31.2400 	31.9900 	30.0000 	30.5000 	30.5000 	2,160
Mar 8, 2022 	31.9000 	36.8000 	28.9000 	30.0000 	30.0000 	2,660
Mar 7, 2022 	30.9000 	32.8000 	28.5000 	29.0000 	29.0000 	1,790
Mar 4, 2022 	31.8700 	32.4000 	30.2400 	31.1000 	31.1000 	950
Mar 3, 2022 	30.5600 	33.7000 	30.5600 	33.7000 	33.7000 	520
Mar 2, 2022 	33.0000 	34.5000 	33.0000 	33.4000 	33.4000 	760
Mar 1, 2022 	31.3000 	34.5000 	31.3000 	32.4000 	32.4000 	1,000
Feb 28, 2022 	31.9000 	33.5000 	31.1000 	31.1000 	31.1000 	670
Feb 25, 2022 	31.9000 	35.1000 	31.8000 	32.8000 	32.8000 	750
Feb 24, 2022 	31.2000 	32.5000 	29.8000 	31.3000 	31.3000 	4,020
Feb 23, 2022 	34.0000 	35.5900 	32.0000 	32.1000 	32.1000 	3,090
Feb 22, 2022 	32.1000 	34.1000 	32.0000 	33.3000 	33.3000 	1,470
Feb 18, 2022 	32.3000 	32.5000 	30.6000 	31.6000 	31.6000 	1,910
Feb 17, 2022 	34.9700 	37.7000 	31.1000 	32.9000 	32.9000 	5,140
Feb 16, 2022 	32.1000 	34.4000 	31.1000 	34.4000 	34.4000 	1,170
Feb 15, 2022 	31.9000 	33.0000 	30.0000 	31.7500 	31.7500 	4,510
Feb 14, 2022 	32.8000 	36.1000 	31.0000 	32.1000 	32.1000 	16,540
Feb 11, 2022 	34.1000 	34.1000 	30.9000 	31.3000 	31.3000 	2,810
Feb 10, 2022 	32.5000 	35.3600 	32.5000 	32.8000 	32.8000 	3,350
Feb 9, 2022 	30.7000 	33.4500 	28.0000 	33.0000 	33.0000 	6,310
Feb 8, 2022 	26.9000 	28.3000 	25.2000 	28.0000 	28.0000 	4,770
Feb 7, 2022 	27.0000 	31.5000 	25.2000 	27.4000 	27.4000 	15,560
Feb 4, 2022 	30.0500 	30.0500 	26.0000 	27.5000 	27.5000 	16,320
Feb 3, 2022 	31.1000 	31.1000 	28.7000 	29.4500 	29.4500 	4,320
Feb 2, 2022 	32.0000 	32.9300 	28.6000 	31.1000 	31.1000 	8,570
Feb 1, 2022 	32.2000 	33.8000 	29.9000 	32.0000 	32.0000 	6,960
Jan 31, 2022 	31.8400 	35.8000 	30.5500 	31.7000 	31.7000 	7,850
Jan 28, 2022 	30.9000 	32.0000 	28.0000 	28.8000 	28.8000 	4,930
Jan 27, 2022 	34.6000 	35.7000 	29.4000 	31.2000 	31.2000 	13,310
Jan 26, 2022 	39.5000 	40.0000 	34.1000 	34.7000 	34.7000 	4,000
Jan 25, 2022 	38.1000 	38.5000 	33.3000 	36.6000 	36.6000 	8,940
Jan 24, 2022 	39.5000 	40.5900 	36.6000 	37.9500 	37.9500 	4,190
Jan 21, 2022 	46.5000 	47.8500 	39.3000 	39.9000 	39.9000 	16,620
Jan 20, 2022 	45.7000 	46.8800 	45.5000 	45.9000 	45.9000 	1,240
Jan 19, 2022 	46.2000 	47.6300 	44.4000 	46.3000 	46.3000 	4,680
Jan 18, 2022 	44.7000 	46.3000 	43.0000 	45.6000 	45.6000 	1,210
Jan 14, 2022 	44.3000 	44.7000 	43.5000 	44.7000 	44.7000 	1,360
Jan 13, 2022 	47.5000 	47.5000 	43.5000 	44.4000 	44.4000 	1,440
Jan 12, 2022 	48.8000 	48.8000 	43.8000 	45.9000 	45.9000 	5,540
Jan 11, 2022 	46.4000 	48.6000 	45.4500 	48.2000 	48.2000 	1,380
Jan 10, 2022 	47.4000 	47.4000 	45.0000 	45.9000 	45.9000 	1,910
Jan 7, 2022 	52.7000 	53.5600 	47.0000 	48.8000 	48.8000 	6,680
Jan 6, 2022 	56.2000 	57.3000 	51.6000 	52.4000 	52.4000 	4,130
Jan 5, 2022 	50.4000 	56.5000 	49.4500 	56.5000 	56.5000 	6,870
Jan 4, 2022 	51.4000 	51.4900 	48.1000 	49.0000 	49.0000 	1,270
Jan 3, 2022 	46.9000 	50.5000 	46.0000 	50.4000 	50.4000 	3,640
Dec 31, 2021 	45.1000 	47.5000 	44.0000 	45.0000 	45.0000 	5,860
Dec 30, 2021 	43.9000 	47.0000 	43.6000 	45.9000 	45.9000 	4,810
Dec 29, 2021 	45.1000 	45.9000 	44.0000 	44.1000 	44.1000 	2,550
Dec 28, 2021 	45.8000 	48.5300 	44.0000 	45.0000 	45.0000 	4,010
